id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10206210001,2013,widowed,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,250,0
10206211001,2013,married,1,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,12000,0
10206211002,2013,married,1,1,2,1,2,1,6,4,4,4,4,4,4,4,4,4,4,0,12000,0
10206212001,2013,married,0,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10206212002,2013,married,0,1,2,2,1,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10206213002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,2000,200
10206213003,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,2000,200
10206214001,2013,married,1,1,2,1,2,1,5,2,2,4,4,4,4,4,4,4,4,0,0,0
10206214002,2013,married,1,1,2,1,2,2,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10206215001,2013,married,0,1,2,2,2,1,5,4,3,4,4,4,4,4,4,4,4,0,3000,0
10206215002,2013,married,0,1,2,2,2,1,5,2,2,4,4,4,4,4,4,4,4,0,3000,0
10206216001,2013,married,0,1,2,2,2,1,6,2,4,4,4,4,4,4,4,4,4,0,550,0
10206216002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,550,0
10206217001,2013,married,0,1,NA,NA,NA,2,3,4,4,4,4,4,4,4,4,4,4,0,NA,360
10206217002,2013,married,0,1,2,1,2,1,3,4,4,4,4,4,4,4,4,4,4,0,NA,360
10206218001,2013,married,1,1,2,2,2,2,8,4,4,4,4,4,4,4,4,4,4,0,400,0
10206218002,2013,married,1,1,2,1,2,2,8,4,4,4,4,4,4,3,4,4,4,0,400,0
10206219001,2013,married,0,1,2,2,1,1,2,4,4,4,4,4,4,4,4,4,4,0,1740,0
10206219002,2013,married,0,1,2,2,2,1,2,2,4,3,4,4,4,4,4,4,4,0,1740,0
10206220001,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,170,0
10206220002,2013,married,0,1,1,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,170,0
10206221001,2013,married,0,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,2500,0
10206221002,2013,married,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,2500,0
10206222001,2013,widowed,0,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,1050,0
10206223001,2013,married,0,1,2,2,1,1,6,4,4,4,4,4,4,4,4,4,4,0,5900,0
10206223002,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,5900,0
10206224001,2013,married,0,1,2,1,1,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10206224002,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10206225001,2013,widowed,0,1,2,2,2,1,5,2,4,4,4,4,4,4,4,4,4,0,1400,0
10206226001,2013,married,1,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10206226002,2013,married,1,1,2,2,2,2,5,3,4,4,4,4,4,4,4,4,4,0,0,0
10206227001,2013,married,0,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,1500,1100
10206227002,2013,married,0,1,2,2,2,1,5,1,4,4,4,4,4,4,4,4,4,0,1500,1100
10206228001,2013,married,NA,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,NA,0,100
10206228002,2013,married,NA,1,2,2,1,1,7,4,4,4,4,4,4,4,4,4,4,NA,0,100
10206229001,2013,married,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10206229002,2013,married,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10206301001,2013,married,1,1,2,2,2,1,5,1,4,3,4,4,4,4,4,4,4,0,400,3000
10206301002,2013,married,1,1,2,2,2,1,5,4,4,1,4,4,4,4,4,4,4,0,400,3000
10206302001,2013,married,0,1,2,2,1,1,4,3,4,4,4,4,4,4,4,4,4,0,0,0
10206302002,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10206303001,2013,married,0,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,4500,200
10206303002,2013,married,0,1,NA,NA,NA,2,2,4,4,4,4,4,4,4,4,4,4,0,4500,200
10206304001,2013,married,0,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,0,4450,0
10206304002,2013,married,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,4450,0
10206305001,2013,married,0,1,2,2,2,2,6,4,4,3,4,4,4,4,4,4,4,0,1000,200
10206305002,2013,married,0,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,1000,200
10206306001,2013,married,0,1,2,2,1,1,5,1,4,3,4,4,4,3,4,4,4,180,1200,3700
